บริษัท อู่ ส.วัฒนายนต์ จำกัด,62/5 ถนนนางลิ้นจี่ แขวงทุ่งมหาเมฆ,สาทร,"02-2861944,02-6784259"
บริษัท สหรุ่งโรจน์เซอร์วิส (2545),4/431-3 หมู่ที่ 1 ซอยสะแกงาม25 ถนนพระราม2,บางขุนเทียน,02-8971123-28
ห้างหุ้นส่วนจำกัด กุ่ยเฮงพัฒนา,135 ซอยรัชดาภิเษก 12 ถนนชดาภิเษก,ห้วยขวาง,"02-2777868,02-2752169"
บริษัท ออโต้ อาร์ต เซอร์วิส จำกัด,14 ซอยลาดพร้าววังหิน 85 ถนนลาดพร้าววังหิน,ลาดพร้าว,"081-6511666,092-6646677"
บริษัท เจริญก้าวหน้า คาร์เซอร์วิส,435 ซอยลาดพร้าว 94 (ปัญจมิตร) ถนนลาดพร้าว,วังทองหลาง,"02-9345789, 02-5394279"
บริษัท สถิตพร ออโต้บอดี้ จำกัด,31/17 ซอยรามอินทรา 6/1 ถนนรามอินทรา,บางเขน,02-5226166-8
บริษัท ศรีสยามเอนเตอร์ไพรส์ จำกัด,1/34 ซอยจามร หมู่ที่ 6 ถนนพหลโยธิน,สายไหม,"02-5311655,084-"
บริษัท เมธียนต์ จำกัด,163/34 หมู่ที่ 1 ถนนร่มเกล้า แขวงมีนบุรี,มีนบุรี,02-9145791-3
บริษัท ตามออโต้ เซอร์วิส จำกัด,85/1 ซอยเพชรเกษม69 แยก 6-1-1สาขา 00001,หนองแขม,02-8074447-48
ห้างหุ้นส่วนจำกัด เอชเอช การาจ,39 หมู่ที่ 3 ซอยพุทธบูชา 33 ถนนพุทธบูชา,ทุ่งครุ,"02-8693743,081-"
บริษัท 9 มอเตอร์เวิร์คส์ จำกัด,54/32 หมู่ที่ 10 แขวงบางขุนเทียน,จอมทอง,"02-8937606-7,064-6545265"
บริษัท จักรพันธ์การาจ จำกัด,20 ซอยพุทธมณฑลสาย 2 ซอย 12 แขวงบางไผ่,บางแค,"086-3231433, 02-8030463-4"
บริษัท ต.ชัยกังวาน การาจ จำกัด,313 หมู่ที่ 3 ถนนสุขสวัสดิ์ แขวงจอมทอง,จอมทอง,"02-4771105, 02-4771118"
บริษัท พี.เจ.การาจ จำกัด,461/1 ซอยเจริญนคร40 แขวงบางลำภูล่าง,คลองสาน,02-8625044-6
บริษัท หญิงรวย การาจ 2009 จำกัด,20/20 หมู่ที่ 11 แขวงบางพรม,ตลิ่งชัน,02-4114959
ห้างหุ้นส่วนจำกัด อู่ชัยยนต์บางนา,191 ถนนเทพรัตน แขวงบางนาเหนือ,บางนา,"02-7474581,02-"
บริษัท หมง 2002 จำกัด,217 ถนนช่างอากาศอุทิศ แขวงดอนเมือง,ดอนเมือง,"02-9295922,081-4883422"
บริษัท เอ.เอส.งามวงศ์วาน การาจ,58/12 หมู่ที่ 6 แขวงทุ่งสองห้อง,หลักสี่,"02-5885833-5 , 02-5897860"
บริษัท ส.พงษ์มิลเลเนี่ยมเซอร์วิส,50/1 หมู่ที่ 6 ซอยร่วมสามัคคี ถนนเฉลิมพระเกียรติ์,ประเวศ,02-7262348-9
บริษัท บูรณะมอเตอร์คาร์ จำกัด,29/36 หมู่ที่ 9 ถนนนวมินทร์ แขวงคลองกุ่ม,บึงกุ่ม,"02-5090476-7,02-5090490"
ธีระยนต์ การาจ,242/1 ซอยลาดพร้าว 107 ถนนลาดพร้าว,บางกะปิ,"02-3744417,02-7310931"
บริษัท อาทิตย์การาจ จำกัด,7 ซอยพระรามที่ 2 ซอย 28/1 ถนนพระรามที่ 2,จอมทอง,02-4520613-4
ห้างหุ้นส่วนจำกัด นิวจรัล,35/90 เยื้องวัดท่าพระ ถนนจรัญสนิทวงศ์,บางกอกใหญ่,"02-4671507,02-4675872-3"
บริษัท เจริญพงษ์ออโต้คาร์ จำกัด,1 ถนนรามคำแหง แขวงหัวหมาก,บางกะปิ,"02-7323352,02-7323054,02-"
บริษัท ส.ยนตรการ การาจ จำกัด,63/22 หมู่ที่ 6 ซอยสวนอาหารราชพฤก ถนนเอกชัย,บางบอน,"02-8943150-3,081-9240179"
บริษัท เข้มเจริญยนต์ จำกัด,49 ซอยรามอินทรา 46 แยก 11 ถนนรามอินทรา,คันนายาว,"086-3307774,02-9440553"
บริษัท เจ.อาร์.คาร์.โมดิไฟด์ จำกัด,83/19 หมู่4 ซอยรามอินทรา39 ถนนรามอินทรา,บางเขน,02-9731201-5
บริษัท นิวแสงทอง การาจ จำกัด,7/1 ซอยโชคชัยจงจำเริญ ถนนพระราม3,ยานนาวา,02-6832151-2
อู่โกสุมรวมใจ,44 ซอยช่างอากาศอุทิศ 3 แยก 8 แขวงดอนเมือง,ดอนเมือง,"02-5659248-9,083-"
บริษัท เดียร์บอดี้แอนด์เพ็นท์(1995),86 ถนนบรมราชชนนี แขวงศาลาธรรมสพน์,ทวีวัฒนา,02-4089241-6
บริษัท ตงเจริญยนต์ (3) จำกัด,1 ซอยบางบอน 5 ซอย 6/1 แขวงบางบอนเหนือ,บางบอน,02-8925515-7
บริษัท จรัลยนต์เซอร์วิส จำกัด,307/210 ซอยจรัญสนิทวงศ์31 ถนนจรัญสนิทวงศ์,บางกอกน้อย,"02-4110863,02-4111866"
บริษัท ไพชยนต์การาจ จำกัด,459 ซอยปุณณวิถี15 ถนนสุขุมวิท 101 แขวงบางจาก,พระโขนง,"02-3114864,02-7417643"
บริษัท อู่เสริมศักดิ์ จำกัด,"403,405 ถนนราชวิถี แขวงบางพลัด",บางพลัด,"02-4331276,02-4230715"
บริษัท ลีออโต้เซอร์วิส จำกัด,64 ซอยเฉลิมพระเกียรติ ร.9 ซอย 28 แขวงดอกไม้,ประเวศ,02-7528802-3
บริษัท ถาวรมงคล จำกัด,11 ซอย 20 มิถุนา 11 แยก 13 ถนนรัชดาภิเษก,ห้วยขวาง,02-2748813-4
ห้างหุ้นส่วนจำกัด สันติภาพ การาจ,12 ซอยอ่อนนุช 17 แยก1 ถนนอ่อนนุช 17,สวนหลวง,"02-3002639, 02-7177169"
บริษัท เจเอส ยนต์เซอร์วิส 2011,"30,32 ซอยอ่อนนุช 46 ถนนสุขุมวิท 77",สวนหลวง,02-3211101
ห้างหุ้นส่วนจำกัด ชอบ.การาจ,4 ซอยเทียนทะเล17 ถนนบางขุนเทียน-ชายทะเล,บางขุนเทียน,02-8920982-3
ห้างหุ้นส่วนจำกัด อินเตอร์เทค,99/9 ซอยสุขุมวิท 66/1 ถนนสุขุมวิท แขวงบางนา,บางนา,02-3939768-9
อู่ พี.ซี.เซอร์วิส,119 หมู่ที่ 12 ถนนเสรีไทย แขวงคันนายาว,คันนายาว,"02-7318838, 02-7364919,"
ห้างหุ้นส่วนจำกัด อัมรินทร์ยนต์,1221/1 ซอยลาดพร้าว94 ถนนลาดพร้าว,วังทองหลาง,02-5397320-1
ห้างหุ้นส่วนจำกัด,1/1 ถนนรามคำแหง แขวงมีนบุรี,มีนบุรี,"02-9176191, 061-9825355"
บริษัท เอ็น.เจ.โอ.เซลส์ แอนด์,21 ซอยหทัยราษฎร์ 24 แขวงสามวาตะวันตก,คลองสามวา,"086-3865769,095-8563666"
บริษัท สหชัยออโต้เซอร์วิส จำกัด,8/10 หมู่ที่ 1 ซอยแจ้งวัฒนะ14 ถนนแจ้งวัฒนะ,หลักสี่,02-9907788.02-9907887
บริษัท คาร์เซอร์เคิล แอนด์ เซอร์วิส,2 ซอยสะแกงาม 16 ถนนสะแกงาม แขวงแสมดำ,บางขุนเทียน,"02-4516334,02-4516927-8"
อู่ม้อการช่าง,497/1 หมู่ที่ 11 ถนนราษฎร์บูรณะ แขวงบางปะกอก,ราษฎร์บูรณะ,"02-4761857,02-"
บริษัท ออโต้ บอดี้ คลินิค จำกัด,640 ถนนวิภาวดีฯ แขวงดินแดง,ดินแดง,"02-6918272, 086-3774894"
บริษัท เรดดี้ มอเตอร์ส จำกัด,59/1 ถนนบางบอน 5 แขวงบางบอน,บางบอน,02-4530100
บริษัท รถไทยการาจ จำกัด,83/33 หมู่ที่ 2 แขวงหนองค้างพลู,หนองแขม,02-8089326-7
บริษัท อู่เอส.เอส.อินเตอร์กรุ๊ป จำกัด,45 ซอยพึ่งมี13 ถนนสุขุมวิท93 แขวงบางจาก,พระโขนง,02-3326840-3
บริษัท แสงประดิษฐ์การาจ จำกัด,"24,26 ซอยเอกชัย 94 แยก 7 แขวงบางบอนเหนือ",บางบอน,02-8950730-2
บริษัท นิววิรัตน์การช่าง จำกัด,59 ซอยบางนา-ตราด 24 ถนนบางนา-ตราด,บางนา,"02-7468944-6,02-3935616"
ห้างหุ้นส่วนจำกัด ชอเส็ง บอดี้,8 ซอยราษฎร์บูรณะ 12 ถนนราษฎร์บูรณะ,ราษฎร์บูรณะ,02-4287888
อู่ศรีประชายนต์,224 ซอยจรัญสนิทวงศ์ 42 แขวงบางยี่ขัน,บางพลัด,"02-4245034,02-8833154"
ห้างหุ้นส่วนจำกัด พี.เอส.อาร์.การาจ,278 ซอยอ่อนนุช 44 ถนนสุขุมวิท 77,สวนหลวง,02-3329952
บริษัท เอกกิจ ออโต้ การาจ จำกัด,18 ซอยเพชรเกษม39(แยก1) แขวงบางหว้า,ภาษีเจริญ,02-8047273-4
บริษัท ดีดี เซอร์วิส แอนด์ การาจ,40/14 หมู่ที่ 8 ถนนบางกรวย-ไทรน้อย,บางกรวย,"02-4430120,081-7264339"
บริษัท อู่นำชัยรัตนาธิเบศร์ จำกัด,95/20 ซอยประชาอุทิศ ถนนรัตนาธิเบศร์,เมืองนนทบุรี,02-9655510-5
บริษัท มนฑกานต์ยนต์ จำกัด,232 หมู่ที่ 9 ถนนงามวงศ์วาน ตำบลบางกระสอ,เมืองนนทบุรี,"02-5913228,02-9525314-5"
บริษัท รุ่งนิธิกลการ จำกัด,117/13 หมู่ที่ 5 ตำบลบางไผ่,เมืองนนทบุรี,02-4431029
บริษัท บัญชา กลการแอนด์เซอร์วิส,45/21 หมู่ที่ 5 ถนนบางกรวย-ไทรน้อย,บางกรวย,"02-4460612,02-4460619"
บริษัท ซีเอ็นอาร์ ออโต้ เซอร์วิส,23/4 หมู่ที่ 6 ตำบลลำโพ,บางบัวทอง,"089-7132653,092-8832668"
บริษัท มนฑกานต์ กรุ๊ป จำกัด,21/2 หมู่ที่ 5 ถนนบ้านกล้วย-ไทรน้อย,บางบัวทอง,02-9799245-6
บริษัท เบนซ์สามารถมอเตอร์เซอร์วิส,115/5-115/6 หมู่ที่ 3 ตำบลบ้านใหม่,ปากเกร็ด,02-9614400
บริษัท เอ็มอีซี 2009 การาจ จำกัด,37/5 หมู่ที่ 1 ตำบลบางบัวทอง,บางบัวทอง,"02-9231939,086-"
ห้างหุ้นส่วนจำกัด,112/12 หมู่ที่ 8 ซอยบางกร่าง14 ถนนท่าน้ำนนท์-,เมืองนนทบุรี,"02-930-4300,081-9470974"
พีแอนด์อาร์บอดี้การาจ,วัดโบสถ์ ตำบลบางกร่าง,,
บริษัททิพย์เจริญ การาจ จำกัด,72/1-2 ซอยสามัคคี 12 ถนนสามัคคี ตำบลท่าทราย,เมืองนนทบุรี,"02-9523223-4, 081-8756630"
บริษัท นาริน บอร์ดี้คาร์ จำกัด,66 หมู่ที่ 5 ซอยท่าอิฐ ถนนรัตนาธิเบศร์ ตำบลท่าอิฐ,ปากเกร็ด,02-9245400-3
บริษัท บิ๊กโฟร์ ธุรกิจ จำกัด,8 หมู่ที่ 7 ตำบลลาดสวาย,ลำลูกกา,02-0179005
บริษัท เอกกิจ ออโต้ การาจ,35/4 ถนนปทุมกรุงเทพ ตำบลบางปรอก,เมืองปทุมธานี,"097-1291486 ,065-5203969-"
บริษัท อินเตอร์เทค ปทุมธานี,15/3 หมู่ที่ 8 ตำบลลาดสวาย,ลำลูกกา,"095-5414574,02-9945585-"
ออโต้เซอร์วิส จำกัด,,,"6,081-6157845"
ห้างหุ้นส่วนจำกัด โชติดำรง เซอร์วิส,41/4 หมู่ที่ 11 ตำบลบึงทองหลาง,ลำลูกกา,02-9870308-9
บริษัท จิตติบอดี้ เซอร์วิสบ้านนา,26/2 หมู่ที่ 4 ตำบลลำผักกูด,ธัญบุรี,"02-5461646,061-6765757"
ห้างหุ้นส่วนจำกัด,88/24 หมู่ที่ 3 ตำบลบางพูน,เมืองปทุมธานี,"02-5672175,02-9589117"
ห้างหุ้นส่วนจำกัด สหมิตรยนตรกิจ,33 หมู่ที่ 4 ตำบลคุ้งลาน,บางปะอิน,"035-331444,087-5396044"
บริษัท เอส แอนด์ เอ็น,51/1 หมู่ที่ 10 ตำบลไม้ตรา,บางไทร,081-5667468
บริษัท อู่ 99 ออโตคาร์ การาจ จำกัด,22/26 หมู่ที่ 2 ถนนสุขุมวิท ตำบลนาจอมเทียน,สัตหีบ,"081-4119444, 038-238262"
บริษัท หนองรี การาจ จำกัด,19/33 หมู่ที่ 7 ตำบลหนองรี,เมืองชลบุรี,038-476421
บริษัท เค.เอส การาจ จำกัด,96/36 หมู่ที่ 11 ตำบลหนองขาม,ศรีราชา,033-672600
บริษัท บางละมุง 31 เซอร์วิส จำกัด,111 หมู่ที่ 2 ตำบลตะเคียนเตี้ย,บางละมุง,"038-241890,089-8151110"
อู่โชคชัยยนต์,121/203 หมู่ที่ 3 ตำบลพลูตาหลวง,สัตหีบ,086-3559126
บริษัท เอสเอส ออโต้เวิร์ค จำกัด,315/1 ถนนเปรมใจราษฎร์ ตำบลเหมือง,เมืองชลบุรี,"038-392742,038-198640"
บริษัท กรณัฐ ออโต้ เซอร์วิส จำกัด,449/1 ถนนสุขุมวิท ตำบลแสนสุข,เมืองชลบุรี,038-393610-1
บริษัท ลัคกี้มอเตอร์ ออโต้เทคนิค,39/31 หมู่ที่ 1 ตำบลบ้านสวน,เมืองชลบุรี,"081-6531586, 091-7382208,"
บริษัท เคเคบอดี้เซอร์วิส จำกัด,269/145 หมู่ที่ 6 ตำบลบ่อวิน,ศรีราชา,"094-5478235, 081-6364526"
บริษัท อ๊าออโต้การาจ จำกัด,43/46 หมู่ที่ 2 ตำบลห้วยกะปิ,เมืองชลบุรี,038-110974
บริษัท ระยองยนต์ จำกัด,103 หมู่ที่ 2 ซอยแหลมมะขาม ตำบลทับมา,เมืองระยอง,"033-065978,089-7486623"
อู่ถนอมชัยการช่าง,506/6 ถนนสุขุมวิท ตำบลเนินพระ,เมืองระยอง,038-616193
อู่ คชสาร การาจ,388/9 ถนนสุขุมวิท ตำบลห้วยโป่ง,เมืองระยอง,"086-9901199,038-683434"
ห้างหุ้นส่วนสามัญ อู่น้องใหม่,80/1 หมู่ที่ 2 ตำบลน้ำคอก,เมืองระยอง,086-3271926
บริษัท เอส ที ระยองการาจ 2011,16/1 หมู่ที่ 3 ตำบลทับมา,เมืองระยอง,"038-993350,086-3446422"
บริษัท ออโต้ รัก เซอร์วิส จำกัด,176/5 หมู่ที่ 1 ตำบลบางวัว,บางปะกง,"038-540333-5, 092-4999898,"
ห้างหุ้นส่วนจำกัด เพชรการาจ,207/1 ซอยมิตรภาพ 4 ตำบลในเมือง,เมืองนครราชสีมา,044-300337
ห้างหุ้นส่วนจำกัด อู่ทวีผล,44/1 ถนนมิตรภาพ ตำบลหนองสาหร่าย,ปากช่อง,044-312658
บริษัท อู่เพชรการาจ ปากช่อง จำกัด,9/2 หมู่ที่ 13 ตำบลจันทึก,ปากช่อง,044-756288
ห้างหุ้นส่วนจำกัด อู่ พี เค โคราช,423 ถนนยมราช ตำบลในเมือง,เมืองนครราชสีมา,"044-241773, 091-6619265"
บริษัท อู่ พีซีซี นครราชสีมา จำกัด,152/1 ซอยมิตรภาพ 4 ตำบลในเมือง,เมืองนครราชสีมา,044-927044
บริษัท เคราบริการเรโวลูชั่น จำกัด,307 หมู่ที่ 6 ถนนสีคิ้ว-ชัยภูมิ ตำบลในเมือง,เมืองชัยภูมิ,044-836134
บริษัท วี.เอ็น.มอเตอร์(1993) จำกัด,75 หมู่ที่ 7 ถนนทหาร ตำบลหมากแข้ง,เมืองอุดรธานี,042-340131-3
ห้างหุ้นส่วนจำกัด กี่เซอร์วิส,284 หมู่ที่ 5 บ้านดงอุดม ถนนรอบเมือง,เมืองอุดรธานี,042-323352
ร้าน อู่มงคลไพศาล,55/4 หมู่ 1 ตำบลตะเคียนเลื่อน,เมืองนครสวรรค์,086-5092218
บริษัท ดีที.มอเตอร์ จำกัด,129/14 หมู่ที่ 1 ตำบลสามง่าม,ดอนตูม,"089-7700466, 034-371163"
อู่พระเวียงกลการ,210 ถนนราชดำเนิน ตำบลในเมือง,เมืองนครศรีธรรมราช,"075-466586,075-324266"
อู่ภักดีการช่าง,122/3 ถนนพัฒนาคูขวาง ตำบลในเมือง,เมืองนครศรีธรรมราช,075-321020
ห้างหุ้นส่วนจำกัด รัชฎาการาจ,3/47 ถนนพัฒนาการคูขวาง ตำบลคลัง,เมืองนครศรีธรรมราช,"075-356830, 075-321001"
ห้างหุ้่นส่วนจำกัด เขาแก้วการช่าง89,259/5 หมู่ที่ 2 ถนนหลักช้าง ตำบลท่ายาง,ทุ่งใหญ่,075-489401
ห้างหุ้นส่วนจำกัด อู่นางนวลการช่าง,422/8 หมู่ที่ 12 ตำบลร่อนพิบูลย์,ร่อนพิบูลย์,"084-3058802, 075-355041"
อู่ไข่การช่าง,175/58 ถนนราชนิคม ตำบลท่าวัง,เมืองนครศรีธรรมราช,"075-345226,081-9580970"
อู่จอมพิบูลย์การช่าง,74/1 หมู่ที่ 10 ตำบลทุ่งปรัง,สิชล,075-335136
อู่พรเทพกลการ,68/2 หมู่ที่ 11 ตำบลท่าศาลา,ท่าศาลา,"084-4454476,075-330533"
อู่ใหญ่เจริญเซอร์วิส,9/2 ซอยร่มบุญ ถนนพัฒนาการคูขวาง,เมืองนครศรีธรรมราช,"075-320386,081-6776828"
อู่สุขเจริญขวัญกลการ,11 หมู่ที่ 4 ตำบลท่าขึ้น,ท่าศาลา,"075-522279,089-8661853"
อู่วิศวเซอร์วิส,11/1 ซอยปู่ชี ถนนพัฒนาการคูขวาง ตำบลในเมือง,เมืองนครศรีธรรมราช,075-322997
อู่สิทธิ์เซนเตอร์เซอร์วิส,22/19 หมู่ที่ 12 ตำบลขนอม,ขนอม,075-52 9341
อู่หนุ่ย,203/1 ถนนพัฒนาการคูขวาง ตำบลในเมือง,เมืองนครศรีธรรมราช,075-321295
ห้างหุ้นส่วนจำกัด,241 หมู่ที่ 4 ตำบลเขาคราม,เมืองกระบี่,"081-8942976,075-817208"
บริษัท สามพี่น้องวัฒนะทรัพย์ จำกัด,219 ถนนกระบี่ ตำบลปากน้ำ,เมืองกระบี่,"075-613249,091-5279435"
อู่สามารถเซอร์วิส,6/5 หมู่ที่ 1 ตำบลอ่าวลึกเหนือ,อ่าวลึก,081-9786940
ศูนย์ซ่อมสีรถยนต์ดราก้อน,19 ถนนรอดบุญ ตำบลปากน้ำ,เมืองกระบี่,"075-623993,099-"
อู่บิ้วเซอร์วิส,174/1 หมู่ที่ 2 ถนนเพชรเกษม ตำบลไสไทย,เมืองกระบี่,075-700160-1
บริษัท โอเค คาร์ เพ้นท์ติ้ง จำกัด,2 ซอย 1 (ผดุงพงษ์) ถนนวัชระ ตำบลกระบี่ใหญ่,เมืองกระบี่,089-7245473
บริษัท อู่ประเสริฐการช่าง จำกัด,58/10 หมู่ที่ 2 ตำบลนาเตย,ท้ายเหมือง,076-670722
บริษัท อู่ประเสริฐการช่าง จำกัด,2/53 หมู่ที่ 2 ตำบลกะทู้,กะทู้,"076-319347"
อู่ขวัญชัย คาร์เซอร์วิส,115/6 หมู่ที่ 1 ถนนเทพกระษัตรี ตำบลศรีสุนทร,ถลาง,"076-311564,081-9703248"
อู่อาร์ซี เซอร์วิส(ภูเก็ต),150/2 หมู่ที่ 5 ตำบลรัษฎา,เมืองภูเก็ต,"076-261145,081-9709646"
อู่อู๊ฐการช่าง,135/4 หมู่ที่ 1 ตำบลตลิ่งงาม,เกาะสมุย,"077-234130,088-7660235"
อู่ศรีชฎาการช่าง,79/46 หมู่ที่ 1 ซอยกาญจนวิถี 23 ถนนกาญจนวิถี,เมืองสุราษฎร์ธานี,086-2823848
อู่ทองแก้วการช่าง,9/17 หมู่ที่ 1 ถนนกาญจนวิถี ตำบลบางกุ้ง,เมืองสุราษฎร์ธานี,"077-224433,081-9783425"
อู่ พงศกรการช่าง,4/23 หมู่ที่ 3 ถนนเลี่ยงเมือง ตำบลมะขามเตี้ย,เมืองสุราษฎร์ธานี,"077-437110,077-221916"
อู่โรจน์การช่าง,82-82/1 หมู่ที่ 4 ตำบลบางริ้น,เมืองระนอง,"081-4775562,084-8410215"
บริษัท ป.พรทวี การาจ จำกัด,77 หมู่ที่ 4 ถนนเพชรเกษม ตำบลวังตะกอ,หลังสวน,"077-541999, 077-541977"
ผู้ใหญ่หมึกการช่าง,33/3 หมู่ที่ 13 ถนนเพชรเกษม ตำบลวังไผ่,เมืองชุมพร,"077-596703, 081-4742151"
อู่พี.เค.การาจ,5/1 หมู่ที่ 8 ตำบลขุนกระทิง,เมืองชุมพร,081-7876336
อู่อุดมศักดิ์การช่าง,198/3 หมู่ที่ 9 ตำบลวังไผ่,เมืองชุมพร,077-534149
บริษัท เอบีซี การาจ จำกัด,165 ถนนเลียบคลอง ร.6 ตำบลคอหงส์,หาดใหญ่,"074-201008,089-4643355"
อู่พัฒนทรัพย์การช่าง,131/134 หมู่ที่ 8 ตำบลเขารูปช้าง,เมืองสงขลา,"089-6581768,083-1943620"
ห้างหุ้นส่วนจำกัด ก้าวหน้าบอดี้,93 หมู่ที่2 ตำบลคลองแห,หาดใหญ่,"086-6959315,084-1997972"
ห้างหุ้นส่วนจำกัด พิชัยเซอร์วิส,11/3 หมู่ที่ 2 ตำบลสะกอม,จะนะ,"074-499759, 084-1999945"
ห้างหุ้นส่วนจำกัด วี.พี.บอดี้ แอนด์,57/3 หมู่ที่ 1 ตำบลคลองแห,หาดใหญ่,"081-7661618,095-5440476"
บริษัท ชาญรวมช่าง จำกัด,12-22 ซอย 22 ถนนกาญจนวณิชย์ ตำบลหาดใหญ่,หาดใหญ่,"074-439488,074-298989ฌ"
บริษัท แดงออโต้การาจ จำกัด,8/2 ถนนจิระนคร ตำบลหาดใหญ่,หาดใหญ่,"089-8768667, 099-4037534"
อู่ณัฐวุฒิเซอร์วิส,83/21 หมู่ที่ 1 ตำบลปากแตระ,ระโนด,"074-800112,091-"
บริษัท รัถการเซอร์วิส จำกัด,1 ซอยนวบุญอุทิศ ตำบลหาดใหญ่,หาดใหญ่,"074-223678,086-2961192"
สงขลาเจริญการช่าง,131/138 หมู่ที่ 8 ตำบลเขารูปช้าง,เมืองสงขลา,"074-321479, 081-2766620"
อู่ส.เจริญยนต์,99 หมู่ที่ 7 ถนนยนตรการกำธร ตำบลคลองขุด,เมืองสตูล,074-721454
อู่ยนตรการสตูล,1166 หมู่ที่ 4 ตำบลคลองขุด,เมืองสตูล,074-721051
อู่ สกุลมอเตอร์,233/7 ถนนห้วยยอด ตำบลทับเที่ยง,เมืองตรัง,075-222675-6
อู่ วิเศษกุลตรัง,10/1 หมู่ที่ 3 ตำบลบ้านควน,เมืองตรัง,075-21 2842
อู่บริการการช่าง,233/3 หมู่ที่ 9 ตำบลนาท่ามเหนือ,เมืองตรัง,"087-4702744,089-4786068"
ห้างหุ้นส่วนจำกัด เอ็มที เจริญยนต์,3/4 หมู่ที่ 6 ตำบลนาตาล่วง,เมืองตรัง,075-211560
อู่รุ่งเจริญ,33 หมู่ที่ 11 ตำบลเขาเจียก,เมืองพัทลุง,"081-0946772,081-7667006"
อู่ช่างตุ้มเจริญรุ่งเรือง,,,"5997106,081-3880283"
อู่พัทลุงการาจ,50 ถนนเจริญดิษฐอินทร์ ตำบลคูหาสวรรค์,เมืองพัทลุง,"074-616386,089-6555051"
อู่เบญเซอร์วิส,79 หมู่ที่ 9 ตำบลควนมะพร้าว,เมืองพัทลุง,"074-616382,093-5838331"
เค.เจ.บอดี้การาจ,62 ถนนรามโกมุท ตำบลอาเนาะรู,เมืองปัตตานี,"087-6311339, 084-9954468"
ห้างหุ้นส่วนจำกัด มาร์ มอเตอร์คาร์,143/14 หมู่ที่ 1 ตำบลยะรม,เบตง,073-245932
อู่จรัญการช่าง,911/1 ถนนโต๊ะลือเบ ตำบลสุไหงโก-ลก,สุไหงโกลก,"073-530565,085-0774275"
